"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Taymsa la lvl 20 ra ni mag duha nako ka scholarship HAHAHAJAJAHA KAPOY PA DUHA KA AXIE PAGSABAYON NEXT MONTH NA",FALSE,0,NA,2021-12-27 16:46:01,FALSE,NA,"1475508275869208579",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","21oblivion_",0,FALSE,FALSE,NA,NA
"RT @brycent_: Loot Squad is looking to sign a Top 100 Axie Player heading into battles V2.  

Requirements: 
- Stream
- Make YouTube conten…",FALSE,0,NA,2021-12-27 16:45:47,FALSE,NA,"1475508218936033283",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AbapoDodie",26,TRUE,FALSE,NA,NA
"Thank you Christmas gift this is really helpful as a beginner to start and build my own axie team  
Name : Tamatchi… https://t.co/r1HLpsKHXw",FALSE,0,NA,2021-12-27 16:45:45,TRUE,NA,"1475508207967563780",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ja_atmospera",0,FALSE,FALSE,NA,NA
"RT @bbook_ax: STARTING  AXIE SCHOLARSHIP  APPLICATION!!

It's select step for scholarship
1) Reply why you are, which team, How many SLP yo…",FALSE,0,NA,2021-12-27 16:45:35,FALSE,NA,"1475508166259781633",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CzymerG",47,TRUE,FALSE,NA,NA
"RT @gocholive: SORTEO FIN DE AÑO CON GOCHO Y AXIE INFINITY
 10 $AXS <U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384>

PARA PARTICIPAR: 
<U+2705>SEGUIRME 
<U+2705>SEGUIR @AxieInfini…",FALSE,0,NA,2021-12-27 16:45:33,FALSE,NA,"1475508159020244994",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mary54234494",851,TRUE,FALSE,NA,NA
"RT @bbook_ax: I bought new Bird Axie https://t.co/YS2cnslIoC",FALSE,0,NA,2021-12-27 16:45:27,FALSE,NA,"1475508134819303424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CzymerG",10,TRUE,FALSE,NA,NA
"RT @matsu_Axie: <U+0001F9E7><U+304A><U+5E74><U+7389><U+30AE><U+30D6><U+30A2><U+30A6><U+30A7><U+30A4><U+0001F9E7>

<U+30A2><U+30AF><U+30B7><U+30FC>1<U+4F53><U+3092><U+62BD><U+9078><U+3067>1<U+540D><U+69D8><U+306B><U+30D7><U+30EC><U+30BC><U+30F3><U+30C8><U+2728>
Lagging<U+6301><U+3061><U+306A><U+306E><U+3067><U+6BD2><U+30D1><U+306B><U+5165><U+308C><U+308C><U+3070>Galish<U+767A><U+52D5><U+3057><U+3084><U+3059><U+3044><U+0001F9D0>
<U+53E3><U+306F>Tiny<U+3067><U+30BF><U+30A4><U+30DE><U+30F3><U+3067><U+3082><U+305D><U+308C><U+306A><U+308A><U+306B><U+6226><U+3048><U+308B><U+0001F91C>

<U+25C6><U+53C2><U+52A0><U+6761><U+4EF6><U+25C6>
<U+2460>@matsu_Axie<U+3092><U+30D5><U+30A9><U+30ED><U+30FC>
<U+2461><U+3053><U+306E><U+30C4><U+30A4><U+30FC><U+30C8>…",FALSE,0,NA,2021-12-27 16:45:26,FALSE,NA,"1475508131144744960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KaylaGiggless",512,TRUE,FALSE,NA,NA
"RT @bbook_ax: I bought new Aquatic Axie https://t.co/2eHoBUaSme",FALSE,0,NA,2021-12-27 16:45:24,FALSE,NA,"1475508119791112194",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CzymerG",11,TRUE,FALSE,NA,NA
"@Kuh4kuu @Jihoz_Axie @AxieInfinity Papi tranquilo q esta gente se ponen de pinga con el balance,con los críticos co… https://t.co/pJNAhrDMHt",FALSE,0,"Kuh4kuu",2021-12-27 16:45:19,TRUE,"1475507337179893763","1475508102028046338","1345377837369466881","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CarlosA85451059",0,FALSE,FALSE,NA,NA
"RT @bbook_ax: I am making 3+ new Axie team.",FALSE,0,NA,2021-12-27 16:45:18,FALSE,NA,"1475508095510282240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CzymerG",20,TRUE,FALSE,NA,NA
