"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"$IOST apakah kalian siap haka? <U+0001F47B>

#DYOR #NotAnInvitation

$BTC $ETH $DOGE $SOL $XRP $SHIB $ADA $ONE $LINK $LUNA… https://t.co/7opqm3q5XV",FALSE,0,NA,2021-12-27 17:22:42,TRUE,NA,"1475517508354379776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rxsap",0,FALSE,FALSE,NA,NA
"RT @Fabricrypto: $1000 in a week from #BNB relfections holding $RHT without playin the game yet <U+0001F525>

You can play other games that don't make…",FALSE,0,NA,2021-12-27 17:22:26,FALSE,NA,"1475517443271442442",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nuggetsginger",656,TRUE,FALSE,NA,NA
"RT @Crypto_Dep: <U+26A1><U+FE0F>TOP #NFT Projects by Social Activity 
27 December 2021
$XTZ $NFTBS $RARI $NFTB $TCT $REVV $AXS $BSCS $SOUL $MANA https://…",FALSE,0,NA,2021-12-27 17:22:25,FALSE,NA,"1475517435251994637",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Masoudrahnama3",103,TRUE,FALSE,NA,NA
"That's the biggest source of recommendations for me
He makes me richer. Follow @gem_detecter

 $comp $aave $sdt… https://t.co/vHjQKSVpVF",FALSE,0,NA,2021-12-27 17:22:18,TRUE,NA,"1475517406630105089",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","all7aboutCrypto",0,FALSE,FALSE,NA,NA
"RT @bigojapan: Who is good with BIRD??

COMMENT : how many daily SLP with this party?

Be honest because that will be your QUOTA :)

#AxieI…",FALSE,0,NA,2021-12-27 17:22:16,FALSE,NA,"1475517401143734275",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jeraldtech12",6,TRUE,FALSE,NA,NA
"RT @Fabricrypto: $1000 in a week from #BNB relfections holding $RHT without playin the game yet <U+0001F525>

You can play other games that don't make…",FALSE,0,NA,2021-12-27 17:21:56,FALSE,NA,"1475517317731610627",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PentolMenang",656,TRUE,FALSE,NA,NA
"RT @Fabricrypto: $1000 in a week from #BNB relfections holding $RHT without playin the game yet <U+0001F525>

You can play other games that don't make…",FALSE,0,NA,2021-12-27 17:21:47,FALSE,NA,"1475517277613166593",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SariKamil08",656,TRUE,FALSE,NA,NA
"RT @Fabricrypto: $1000 in a week from #BNB relfections holding $RHT without playin the game yet <U+0001F525>

You can play other games that don't make…",FALSE,0,NA,2021-12-27 17:21:42,FALSE,NA,"1475517255601459201",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MAUBIGWINTERUS",656,TRUE,FALSE,NA,NA
"RT @Fabricrypto: $1000 in a week from #BNB relfections holding $RHT without playin the game yet <U+0001F525>

You can play other games that don't make…",FALSE,0,NA,2021-12-27 17:21:41,FALSE,NA,"1475517253730848769",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MarIjuanI77",656,TRUE,FALSE,NA,NA
"@98Kdao @binance @kucoincom 98k<U+5927><U+54E5>,<U+672C><U+4EBA><U+82F1><U+6587><U+5B9E><U+5728><U+4E0D><U+597D><U+3002><U+53EA><U+80FD><U+62FF><U+4E2D><U+6587><U+8BF4><U+4E86>,20<U+5E74><U+9519><U+8FC7><U+4E86>AXS <U+5982><U+679C>@Axielnfinity<U+518D><U+7ED9><U+4E00><U+6B21><U+673A><U+4F1A>,<U+6307><U+5B9A><U+4E70><U+4F60><U+957F><U+671F><U+6301><U+6709>,<U+5F53><U+65F6><U+8BA4><U+77E5><U+6CA1><U+5230><U+4F4D><U+53EA><U+662F><U+89C9><U+5F97><U+662F><U+4E2A><U+6E38><U+620F>,<U+62FF><U+4E0D><U+4E45><U+3002><U+73B0><U+5728><U+770B>… https://t.co/DT4aqo95ep",FALSE,0,"98Kdao",2021-12-27 17:21:36,TRUE,"1475478283026599936","1475517231358701572","1461993337305460742","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zyclw",0,FALSE,FALSE,NA,NA
"RT @Fabricrypto: $1000 in a week from #BNB relfections holding $RHT without playin the game yet <U+0001F525>

You can play other games that don't make…",FALSE,0,NA,2021-12-27 17:21:24,FALSE,NA,"1475517183358758913",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jaemcity89_",656,TRUE,FALSE,NA,NA
"@HuobiTurkiye Tartismasiz Axs oldu tatli tatli aldi yürüdü kereta arkasindan baka kaldik",FALSE,0,"HuobiTurkiye",2021-12-27 17:21:19,FALSE,"1475513023733379080","1475517162433486861","1120177263482494976","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HknCrkci",0,FALSE,FALSE,NA,NA
