"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @TheSecretScout_: Bit of a predicament Chelsea are in now. 

Do you sign a top LB, but in 6 months have Chilwell/Alonso 

Or do you reca…",FALSE,0,NA,2021-12-28 12:43:43,FALSE,NA,"1475809689732624390",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mdrks1",10,TRUE,FALSE,NA,NA
"RT @TeamDorling: 98/ Stuttgart 96/97 Home. Nameset of the Championship Manager legend Giovane Élber. Another from @authenticnuk. Love the f…",FALSE,0,NA,2021-12-28 12:43:43,FALSE,NA,"1475809689032085511",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","authenticnuk",1,TRUE,FALSE,NA,NA
"RT @Unitedfand: @srkflynn Most of this group is too laid back and when a manager like Mourinho etc asks them to work hard they down tools a…",FALSE,0,NA,2021-12-28 12:43:42,FALSE,NA,"1475809682438696963",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","srkflynn",1,TRUE,FALSE,NA,NA
"Motorcycle Aftersales Manager needed by Guildford Harley-Davidson at their top @Harley_UKI dealership in Surrey.… https://t.co/emrpk68Vs6",FALSE,0,NA,2021-12-28 12:43:38,TRUE,NA,"1475809668190679043",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BikeJobs_uk",0,FALSE,FALSE,NA,NA
"@benzosarebad Yes dealing with the DWP has become very stressful.When I had to apply for PIP after they stopped my… https://t.co/58x1ll1GOB",FALSE,0,"benzosarebad",2021-12-28 12:43:38,TRUE,"1475801758458912780","1475809665791504387","2621717951","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jackiescoones",0,FALSE,FALSE,NA,NA
"My Queen and my events manager, easy time on crystals.<U+0001F60A><U+0001F64F><U+0001F3FF> https://t.co/ZKKzIqxsW9",FALSE,0,NA,2021-12-28 12:43:37,FALSE,NA,"1475809663467806731",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TiCmusicGh",0,FALSE,FALSE,NA,NA
"This <U+0001F97A><U+0001F970>...been thankful since day one up to now <U+0001F9E1>.
 thank you so much manager M. So speechless and for the addition… https://t.co/uHQrPhuazL",FALSE,0,NA,2021-12-28 12:43:36,TRUE,NA,"1475809658632011778",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sphinxjov27",0,FALSE,FALSE,NA,NA
"RT @CompleteFarmer: Our team is growing! We’re looking to fill the following positions : 1/2
1. Quality Assurance Coordinator 
2. Senior So…",FALSE,0,NA,2021-12-28 12:43:36,FALSE,NA,"1475809658631819264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","juggggie",22,TRUE,FALSE,NA,NA
"RT @mukekv5sos: Taekook went together on taes birthday project. just the two of them only. no manager, no friend. just taekook only. also j…",FALSE,0,NA,2021-12-28 12:43:36,FALSE,NA,"1475809657910611969",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_bestofbangtan",200,TRUE,FALSE,NA,NA
"RT @_Noe1u_sub: Axis clan
clan master
@_Noe1u_ 
clan manager<U+FF1F>
@uta_250
clan member
@ru_na_7_7 
@tsubaneet 
@_Siro_0404 
@maly1379 
@AlexGG7…",FALSE,0,NA,2021-12-28 12:43:36,FALSE,NA,"1475809656870436865",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlexGG77",5,TRUE,FALSE,NA,NA
