"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Bill_D_Gains: Guys I have a solution to SLP price being low...
Lets just use the community treasury to pump the price of SLP so that we…",FALSE,0,NA,2021-12-28 11:48:22,FALSE,NA,"1475795758284943361",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cristy_cinco",3,TRUE,FALSE,NA,NA
"RT @akaoninotuno: <U+3010>Axie&SLP Giveaway<U+3011>

<U+0001F363>japanese omotenasi<U+0001F363> 

Axie&1000SLP 1Winner

<U+25B6>Follow 
@akaoninotuno
<U+25B6>Like
<U+25B6>Retweet this 

Ends 12/30…",FALSE,0,NA,2021-12-28 11:48:20,FALSE,NA,"1475795749678235651",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Marbleger_crypt",1172,TRUE,FALSE,NA,NA
"RT @AxieLima: 8000 $SLP New Year’s Eve Giveaway! <U+2764><U+FE0F><U+0001F389> (8 winners will get 1000 $SLP each)
Steps:
1<U+FE0F><U+20E3> Follow @gocholive @LoverF22 @charliepap…",FALSE,0,NA,2021-12-28 11:48:19,FALSE,NA,"1475795745106104320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KODinesh1",1878,TRUE,FALSE,NA,NA
"RT @AxieLima: IS THIS REALLY HAPPENING? <U+0001F633>
<U+0001F6A8><U+0001F6A8><U+0001F6A8><U+0001F6A8><U+0001F6A8><U+0001F6A8><U+0001F6A8><U+0001F6A8><U+0001F6A8><U+0001F6A8><U+0001F6A8>
<U+26A0><U+FE0F> SEVENTH UPDATE <U+26A0><U+FE0F>
Thanks to @Kebunbun the prize has now increased to…
<U+2764><U+FE0F> 64 000 $S…",FALSE,0,NA,2021-12-28 11:48:15,FALSE,NA,"1475795727657828352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KODinesh1",153,TRUE,FALSE,NA,NA
"RT @bbook_ax: STARTING  AXIE SCHOLARSHIP  APPLICATION!!

It's select step for scholarship
1) Reply why you are, select 3 Axies, How many SL…",FALSE,0,NA,2021-12-28 11:47:58,FALSE,NA,"1475795659563597831",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Marbleger_crypt",34,TRUE,FALSE,NA,NA
"@OohLaLaShayyy Somebody wont let me slp <U+0001F62D><U+0001F629>",FALSE,0,"OohLaLaShayyy",2021-12-28 11:47:41,FALSE,"1475794689341145092","1475795585546526723","352791891","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","_oohgabbb",0,FALSE,FALSE,NA,NA
"RT @AxieLima: 8000 $SLP New Year’s Eve Giveaway! <U+2764><U+FE0F><U+0001F389> (8 winners will get 1000 $SLP each)
Steps:
1<U+FE0F><U+20E3> Follow @gocholive @LoverF22 @charliepap…",FALSE,0,NA,2021-12-28 11:47:12,FALSE,NA,"1475795466520612871",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","mariseladelvall",1878,TRUE,FALSE,NA,NA
"RT @PapatonicYT: <U+0001F385> 300 $SLP New Year’s Eve #Giveaway ! <U+0001F389>

<U+0001F43E> Steps:

1-  Follow Me
2- Like &amp; RT this tweet.

<U+0001F525>Winner will be announced on De…",FALSE,0,NA,2021-12-28 11:47:10,FALSE,NA,"1475795454940295168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","izyaboiyowhee_",152,TRUE,FALSE,NA,NA
"@AxieEnergy I have experience playing axie infinity and my old team is a meta team (RBP). I can maintain the daily… https://t.co/P1BaA5kwvv",FALSE,0,"AxieEnergy",2021-12-28 11:47:05,TRUE,"1475729780980871169","1475795436896079875","1438765902200147972","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jm_071800",0,FALSE,FALSE,NA,NA
"RT @ajdicaprio: <U+0001F680> Sorteo de 3<U+FE0F><U+20E3>0<U+FE0F><U+20E3>0<U+FE0F><U+20E3>0<U+FE0F><U+20E3> SLP para año nuevo <U+0001F31F>
(1000 SLP para 3 personas)
<U+0001F4DC>Reglas:
<U+2694><U+FE0F>Like &amp; RT este tweet
<U+2694><U+FE0F>Sigue a @AlisNFT…",FALSE,0,NA,2021-12-28 11:47:04,FALSE,NA,"1475795429883359236",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EdixonUzcategui",162,TRUE,FALSE,NA,NA
"RT @ajdicaprio: <U+0001F680> Sorteo de 3<U+FE0F><U+20E3>0<U+FE0F><U+20E3>0<U+FE0F><U+20E3>0<U+FE0F><U+20E3> SLP para año nuevo <U+0001F31F>
(1000 SLP para 3 personas)
<U+0001F4DC>Reglas:
<U+2694><U+FE0F>Like &amp; RT este tweet
<U+2694><U+FE0F>Sigue a @AlisNFT…",FALSE,0,NA,2021-12-28 11:46:39,FALSE,NA,"1475795326661443590",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ddavila9",162,TRUE,FALSE,NA,NA
"RT @ajdicaprio: <U+0001F680> Sorteo de 3<U+FE0F><U+20E3>0<U+FE0F><U+20E3>0<U+FE0F><U+20E3>0<U+FE0F><U+20E3> SLP para año nuevo <U+0001F31F>
(1000 SLP para 3 personas)
<U+0001F4DC>Reglas:
<U+2694><U+FE0F>Like &amp; RT este tweet
<U+2694><U+FE0F>Sigue a @AlisNFT…",FALSE,0,NA,2021-12-28 11:46:39,FALSE,NA,"1475795326246207488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rzea79",162,TRUE,FALSE,NA,NA
"RT @AxieLima: 8000 $SLP New Year’s Eve Giveaway! <U+2764><U+FE0F><U+0001F389> (8 winners will get 1000 $SLP each)
Steps:
1<U+FE0F><U+20E3> Follow @gocholive @LoverF22 @charliepap…",FALSE,0,NA,2021-12-28 11:46:37,FALSE,NA,"1475795317597552642",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ansonny1",1878,TRUE,FALSE,NA,NA
"RT @ajdicaprio: <U+0001F680> Sorteo de 3<U+FE0F><U+20E3>0<U+FE0F><U+20E3>0<U+FE0F><U+20E3>0<U+FE0F><U+20E3> SLP para año nuevo <U+0001F31F>
(1000 SLP para 3 personas)
<U+0001F4DC>Reglas:
<U+2694><U+FE0F>Like &amp; RT este tweet
<U+2694><U+FE0F>Sigue a @AlisNFT…",FALSE,0,NA,2021-12-28 11:46:25,FALSE,NA,"1475795268696260616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vidasies",162,TRUE,FALSE,NA,NA
"RT @cagyjan1: How to buy $AXS, $ETH, $SLP with Debit card in USA for @AxieInfinity 

Full tutorial <U+0001F447> https://t.co/QGiizRSkG5",FALSE,0,NA,2021-12-28 11:46:13,FALSE,NA,"1475795218779807745",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LoveAxies",30,TRUE,FALSE,NA,NA
"@gk000617381 @mgokhanduman Bu oyunun oynayanlarin aylik ortalama 3k ile 4k slp kazandigini duydum. Su an için bile… https://t.co/VzKetYFsUY",FALSE,0,"gk000617381",2021-12-28 11:46:11,TRUE,"1475792631988989955","1475795211016097795","1353655576937553922","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","senrecep8734",0,FALSE,FALSE,NA,NA
"RT @kucoincom: Top 10 Coins by Weekly Search Popularity on #KuCoin (Dec 27, 2021)

<U+0001F525> $SHIB <U+0001F525> $BTC <U+0001F525> $BNB <U+0001F525> $MATIC <U+0001F525> $SOS <U+0001F525> $SAND <U+0001F525> $LUNA <U+0001F525>…",FALSE,0,NA,2021-12-28 11:46:06,FALSE,NA,"1475795188945620994",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SanketP64258157",507,TRUE,FALSE,NA,NA
