"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@Ralvero THE GAME #ELEMON IS GOING TO BE TALKED ABOUT JUST LIKE AXIE INFINITY NEXT YEAR. @ELEMONGAME <U+0001F495><U+0001F495><U+0001F4A6><U+0001F4A6>",FALSE,0,"Ralvero",2021-12-28 14:45:49,FALSE,"1475210171978768393","1475840417476517888","37794688","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hoantran02",0,FALSE,FALSE,NA,NA
"@ugos_emma @notEezzy Metaverse: Blok, tvk, sand, mana.
Nft: axie infinity, polygon, enjin, tezos.
Storage: Siacoin,… https://t.co/EMf9mjnnmJ",FALSE,0,"ugos_emma",2021-12-28 14:45:27,TRUE,"1475835031952179200","1475840323972648964","739937349161918464","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","samuelolinus",0,FALSE,FALSE,NA,NA
"@DonLeung_ Good Day Manager! Uni Pios the one who is hoping to be a scholar. I'm really want to be a part of your s… https://t.co/goyDnrwgqj",FALSE,0,"DonLeung_",2021-12-28 14:44:39,TRUE,"1475826827474063365","1475840121945559041","1187072004941180930","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UniPios",0,FALSE,FALSE,NA,NA
"RT @Lynn97YL: Quick #AxieInfinity  nail contest <U+0001F485>

You have until the 31st of this month, 2000SLP<U+0001F31F>

Draw your nails, axie infinity theme

R…",FALSE,0,NA,2021-12-28 14:44:33,FALSE,NA,"1475840097274634241",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jovelyn11_Fil",34,TRUE,FALSE,NA,NA
"@ChinaPumpWXC I’m all for this project, i see the potential in this game. In my opinion @Bemilcoin will be the next… https://t.co/qgt1DcHc4C",FALSE,0,"ChinaPumpWXC",2021-12-28 14:44:08,TRUE,"1475773739161710592","1475839992677421056","331968891","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ThinhDao20",0,FALSE,FALSE,NA,NA
"RT @Lynn97YL: Quick #AxieInfinity  nail contest <U+0001F485>

You have until the 31st of this month, 2000SLP<U+0001F31F>

Draw your nails, axie infinity theme

R…",FALSE,0,NA,2021-12-28 14:44:08,FALSE,NA,"1475839992270241795",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChervieT",34,TRUE,FALSE,NA,NA
"RT @AxieInfinity: • RON release <U+0001F440>
• Axie Infinity: Origin <U+2728>
• Land Gameplay <U+0001F33E>
• Axie SDK: an entire universe of Axie games <U+0001F525>

So much to lo…",FALSE,0,NA,2021-12-28 14:44:04,FALSE,NA,"1475839974108905482",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ego_wilky",1985,TRUE,FALSE,NA,NA
"@KmiHo3in <U+0641><U+0642><U+0637> <U+0641><U+06CC><U+0633> <U+0628><U+0648><U+06A9> <U+0646><U+06CC><U+0633><U+062A>
<U+0628><U+0627><U+0632><U+06CC><U+06AF><U+0631><U+0627><U+06CC> <U+0645><U+0647><U+0645> <U+062A><U+0631><U+06CC> <U+062F><U+0627><U+0631><U+0647>. decentraland, bloktopia, axie infinity <U+0645><U+062B><U+0644> <U+0627><U+06CC><U+0646><U+0647><U+0627>.
<U+0648><U+0644><U+06CC> <U+0628><U+0646><U+0638><U+0631> <U+0627><U+0635><U+0644><U+06CC> <U+062A>… https://t.co/CFmwWUy65O",FALSE,1,"KmiHo3in",2021-12-28 14:40:34,TRUE,"1475832471916843008","1475839092944515078","1222510137333690373","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","haammet",0,FALSE,FALSE,NA,NA
"@BinaryAssets Hello, I may have something that interest you on Axie Infinity.",FALSE,0,"BinaryAssets",2021-12-28 14:39:35,FALSE,"1475803206009634821","1475838847628242957","1105065557462839296","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Yemar_eth",0,FALSE,FALSE,NA,NA
"Tutorial Bermain Axie Infinity #AxieScholarship https://t.co/JBNXwRZiRl https://t.co/Af5uZio6ZQ",FALSE,0,NA,2021-12-28 14:39:33,FALSE,NA,"1475838839713189893",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","videolirikCH",0,FALSE,FALSE,NA,NA
"@Ralvero THE IDO PRICE WILL PROBABLY BE LIKE X1000 BUT HEY I WILL BUY MORE. IT’S LIKE BUYING AXIE INFINITY WHEN IT… https://t.co/5RLtevalYI",FALSE,1,"Ralvero",2021-12-28 14:39:28,TRUE,"1475210171978768393","1475838815507869702","37794688","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hoanspurs",0,FALSE,FALSE,NA,NA
"RT @nixeniego: Four Axie Infinity scholarships up for grabs. <U+0001F393><U+0001F393><U+0001F393><U+0001F393>

How to join? Tweet why you love Axie Infinity. Tag @AxieInfinity and @ni…",FALSE,0,NA,2021-12-28 14:38:22,FALSE,NA,"1475838539057225731",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","axielegoo",26,TRUE,FALSE,NA,NA
"RT @JonErlichman: Returns in the past year:

Shiba Inu +52,601,740%
Axie Infinity +18,336%
Terra +15,429%
Polygon +14,690%
Solana +13,232%…",FALSE,0,NA,2021-12-28 14:37:42,FALSE,NA,"1475838373923364873",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Pro_duKtX",221,TRUE,FALSE,NA,NA
"@JapaneseCrypto THE GAME #ELEMON IS GOING TO BE TALKED ABOUT JUST LIKE AXIE INFINITY NEXT YEAR. @ELEMONGAME <U+0001F63B><U+0001F63B><U+2764><U+2764>",FALSE,2,"JapaneseCrypto",2021-12-28 14:37:24,FALSE,"1475700512611651591","1475838295741325312","1199482051482677249","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hoanspurs",0,FALSE,FALSE,NA,NA
