"Link","Type","Title","Description","By","Country","Rating","Categories","Colors"
"https://www.awwwards.com/sites/deepmedia","Nominees","DeepMedia","Eidos Shanghai",NA,"Croatia",NA,"Business & Corporate,Technology,Animation,Clean,Video,Wordpress,GSAP Animation,PHP,Highway.js,Locomotive Scroll",""
"https://www.awwwards.com/sites/rockwool-behind-the-facade","Nominees","ROCKWOOL Behind The Facade","AU CLUB ALPIN",NA,"Denmark",NA,"Architecture,Animation,Big Background Images",""
"https://www.awwwards.com/sites/nest-cam-out-indoor-battery","Nominees","Nest Cam (out/indoor, battery)","Ammolite - Restaurant",NA,"United States",NA,"E-Commerce,Web & Interactive,Animation,Clean,Graphic design,Scrolling",""
"https://www.awwwards.com/sites/la-puce-a-loreille","Nominees","La puce à l'oreille","Jai Dog Rescue",NA,"Canada",NA,"Culture & Education,Music & Sound,Colorful,Flat Design,Transitions,Sound-Audio,UI design,GSAP Animation,Vue.js,Nuxt.js,GraphQL,Locomotive Scroll,Sass",""
"https://www.awwwards.com/sites/swwim","Nominees","Swwim","Léo Parpeix — Portfolio",NA,"United Kingdom",NA,"Business & Corporate,Design Agencies,Promotional,Portfolio,Scrolling,Typography,Illustration,Microinteractions,Framer Motion,Figma,Next.js,Tailwind CSS,Sanity,Locomotive Scroll",""
"https://www.awwwards.com/sites/outhere-music","Nominees","Outhere Music","Fundació MACBA",NA,"Belgium",NA,"Culture & Education,E-Commerce,Music & Sound,Animation,Clean,Graphic design,SEO,Typography,Content architecture,CSS,Drupal,Angular,Figma,Tailwind CSS,Swiper.js",""
"https://www.awwwards.com/sites/elite-interior-design","Nominees","Elite Interior Design","Bihua",NA,"United Kingdom",NA,"Architecture,Real Estate,Animation,Minimal,Parallax,Typography,Storytelling,UI design,Nuxt.js,Netlify,After Effects,Figma,DatoCMS",""
"https://www.awwwards.com/sites/r-e-m-beauty-by-ariana-grande","Nominees","r.e.m. beauty by Ariana Grande","Silvia Tcherassi",NA,"United States",NA,"E-Commerce,Fashion,Other,Animation,Clean,Minimal,UI design,Shopify,After Effects,Figma",""
"https://www.awwwards.com/sites/handmade-company","Nominees","Handmade company","UXPERT - Experience Matters",NA,"Serbia",NA,"Design Agencies,Animation,Clean,Portfolio,UI design,CSS,HTML5,Javascript",""
"https://www.awwwards.com/sites/evraz-my-work-to-the-horizon","Nominees","Evraz - My work to the horizon","RappiPay",NA,"Russia",NA,"Business & Corporate,Web & Interactive,Animation,Responsive Design,Scrolling,3D,Photo & Video,UI design,CSS,HTML5,WebGL,PHP,Three.js,Javascript",""
