"Link","Type","Title","Description","By","Country","Rating","Categories","Colors"
"https://www.awwwards.com/sites/a-promise-broken","Day","A Promise Broken","Chapter One of ""Social Mobility in the Digital Age"" by L'Atelier","Gladeye ","New Zealand",7.6,"Culture & Education,Technology,Social responsibility,Animation,CSS,WebGL","Black,Red,White"
"https://www.awwwards.com/sites/new-world-map-1","Day","New World Map","Step in, Aeternum needs you. New World Map is an interactive map with resource locations, gathering nodes, points of interest, dungeons, named mobs and lore pages.","Immersive Garden","France",7.64,"Games & Entertainment,Web & Interactive,Animation,Illustration,Gestures / Interaction,WebGL,GSAP Animation,Gatsby,GraphQL,Contentful","Blue,Brown"
"https://www.awwwards.com/sites/dola","Day","Dola","Dola is a digital wallet and 1-click checkout that makes buying your favorite products online a breeze. Dola is for the people – experience the site in light or dark mode, your call.","Studio Freight ","United States",7.36,"E-Commerce,Technology,Startups,Parallax,Illustration,3D,Copy design,Header Design,next.js,WebGL,React,Vercel,Next.js","Black,White"
"https://www.awwwards.com/sites/petitmoulin-studio","Day","Petitmoulin Studio","We are Petitmoulin, a French contemporary design studio dedicated to beautiful brands. Deeply inspired by brand stories, we create bold & elegant identities in a modern aesthetic way.","Petitmoulin Studio","France",7.34,"Design Agencies,Colorful,Graphic design,Illustration,Responsive,Storytelling,About Page,After Effects,Adobe XD,Cinema 4D,Adobe Photoshop,Adobe Illustrator,Editor X","Black,Orange,White"
"https://www.awwwards.com/sites/gemini","Day","Gemini","Gemini is a Lusion Monthly Experiment. A WebGL car demo which is visualising one of our interpretations about the contrast of motion and style.","Lusion ","United Kingdom",7.71,"Design Agencies,Promotional,Web & Interactive,Animation,Graphic design,Portfolio,3D,Filters and Effects,WebGL,GSAP Animation,Three.js,GLSL","Black"
"https://www.awwwards.com/sites/mammut-digital-flagship-store","Day","Mammut Digital Flagship Store","We were asked to revamp Mammut’s identity and redesign & develop their .com. Through intense collaboration and a shared vision on quality, we launched their new e-commerce platform","Build in Amsterdam","Netherlands",7.62,"E-Commerce,Fashion,Sports,Animation,Clean,Fullscreen,Gallery,UI design,Contentful,React,Vercel,Framer Motion,Figma,Next.js,Contentful","Black,Red,White"
"https://www.awwwards.com/sites/capsulin-aluminium","Day","Capsul'in Aluminium","An exclusive collection of high-end coffee capsules","index","France",7.52,"Business & Corporate,Food & Drink,Promotional,Graphic design,Responsive Design,Scrolling,Typography,Transitions,UI design,CSS,HTML5,WebGL,PHP,Javascript","Black,Blue,White"
"https://www.awwwards.com/sites/baillat-studio","Day","Baillat Studio","We are masters of our craft, leveraging the transformative power of art & design to move people and brands forward.","Locomotive","Canada",7.73,"Business & Corporate,Design Agencies,Promotional,Animation,Clean,Portfolio,Typography,About Page,WebGL,GSAP Animation,VideoJS,Swiper.js,Locomotive Scroll,Canvas API","Black,White"
"https://www.awwwards.com/sites/the-la-art-box","Day","The LA Art Box","An urban art space: a hybrid concept art gallery and experiential environment.","ToyFight ","United Kingdom",7.47,"Art & Illustration,Culture & Education,Clean,Horizontal Layout,Minimal,React,Gatsby,Contentful","Blue,Pink,Yellow"
"https://www.awwwards.com/sites/totem-earth","Day","Totem.earth","UX/UI + Three.js and WebGL made for crypto currency / metaverse 'Totem'. Click and drag the sections to rotate!","off brand. ","United Kingdom",7.39,"Technology,Experimental,Parallax,3D,UI design,CSS,WebGL,Three.js,Webflow,Javascript","Black,Green,White"
"https://www.awwwards.com/sites/just-egg","Day","JUST Egg","JUST Egg is delicious eggs made from plants. With thoughtful design and carefully layered content, we aimed to change people’s perception about eggs and turn the curious into customers.","Resn ","New Zealand",7.52,"Food & Drink,Promotional,Startups,Big Background Images,Clean,Colorful,Graphic design,Responsive Design,UI design,CSS,HTML5,GSAP Animation,Webpack,Vue.js","Green,White,Yellow"
"https://www.awwwards.com/sites/nft-of-the-dead","Day","NFT of the Dead","NFT of the Dead is a microsite that challenges fans of Zach Snyder's Army of the Dead’ to try their hand at cracking a safe in record time to win an unreleased scene from the movie.","Media.Monks","Netherlands",7.49,"Film & TV,Promotional,Web & Interactive,Single page,Video,Responsive,Sound-Audio,3D,WebGL,WebSockets,GSAP Animation,Vue.js","Black,Blue,Silver"
"https://www.awwwards.com/sites/daria-izbash","Day","Daria Izbash","Portfolio website for photographer Daria Izbash focusing on fashion, commercial, personal projects","Vikki Breusova","Russia",7.62,"Design Agencies,Photography,Animation,Clean,Photography,Portfolio,Typography,UI design","Black,Red,Silver"
"https://www.awwwards.com/sites/advanced-team","Day","Advanced Team","Advanced Team is a design boutique whose team is able to competently and harmoniously integrate modern technologies into the aesthetics of classic website design","advanced.team","Ukraine",7.65,"Business & Corporate,Animation,Clean,Minimal,404 pages,GSAP Animation,Three.js,Canvas API,Sass,Typescript","Black,Red,White"
"https://www.awwwards.com/sites/moooi-paper-play","Day","Moooi - Paper Play","Come play in Moooi's kinetic spectacle where the stage revolves around the new Plié Plissé Light from Lukas Bazle alongside other imaginative products.","Build in Amsterdam","Netherlands",7.68,"E-Commerce,Music & Sound,Experimental,Colorful,Parallax,Scrolling,Transitions,Sound-Audio,Filters and Effects,WebGL,GSAP Animation,WooCommerce,GLSL,PixiJS,Javascript","Black,Blue,Red"
"https://www.awwwards.com/sites/ranboo-fashion-merch-site","Day","Ranboo Fashion","Once again Ranboo defies the odds with the 2k21 Ranboo collection. A collection of bad ideas come to fruition as real products for you to experience.","basementstudio","Argentina",7.38,"E-Commerce,Fashion,Typography,Gallery,Photo & Video,Microinteractions,GSAP Animation,Shopify,GraphQL,Vercel,Next.js,Typescript","Black,Red"
"https://www.awwwards.com/sites/the-perturbator","Day","Perturbator","We crafted a new website for The Perturbator on the occasion of the release of his new album, “Lustful Sacraments”.","Antinomy Studio","Netherlands",7.32,"Music & Sound,Promotional,Graphic design,Single page,Typography,Responsive,GSAP Animation,Vue.js,Nuxt.js,Netlify","Black,Green,Silver"
"https://www.awwwards.com/sites/etq-amsterdam-1","Day","ETQ Amsterdam","The new ETQ e-commerce platform aims to serve all need states of various shopper types resulting in the ultimate shoe shopping experience.","Build in Amsterdam","Netherlands",7.49,"E-Commerce,Fashion,Clean,Minimal,Navigation Menu,Typography,Gallery,Microinteractions,Shopify,Javascript,Sass","Black,White"
